Step,Position,Total Units,PnL,Return sum
T10,LONG,100,-0.022500000000007958,-0.0004105585105019759
T20,CLOSED,0,-0.022500000000007958,-0.00041049615934889594
T30,CLOSED,0,-0.022500000000007958,-0.0004622474271735485
T40,CLOSED,0,-0.022500000000007958,-0.0004119036232333119
T50,CLOSED,0,-0.022500000000007958,-0.0006344884367428723
T60,CLOSED,0,-0.022500000000007958,-0.0003960648469139359
T70,CLOSED,0,-0.022500000000007958,-0.0008687445336158101
T80,CLOSED,0,-0.022500000000007958,-0.0007181107278106353
T90,CLOSED,0,-0.022500000000007958,-0.00016658290735912943
T100,CLOSED,0,-0.022500000000007958,3.42873804718839e-05
