Step,Position,Total Units,PnL,Return sum
T10,LONG,100,-0.01849999999998886,-0.00024466552372998237
T20,LONG,100,-0.03249999999999886,-0.0002644875254068252
T30,LONG,200,0.022499999999979536,-0.00022479667338655678
T40,LONG,300,0.021000000000015007,5.577959128186283e-05
T50,CLOSED,0,0.021000000000015007,-0.000393416440107782
T60,CLOSED,0,0.021000000000015007,-0.0006426379660018148
T70,CLOSED,0,0.021000000000015007,-0.0006572707047677788
T80,CLOSED,0,0.021000000000015007,-0.0009084665460744771
T90,CLOSED,0,0.021000000000015007,-0.0005513713662888024
T100,CLOSED,0,0.021000000000015007,-0.0003601975536977818
