Step,Position,Total Units,PnL,Return sum
T10,LONG,100,1.0950000000011642,0.002735278010757938
T20,CLOSED,0,1.0950000000011642,0.002989075871711007
T30,CLOSED,0,1.0950000000011642,0.005868989582051503
T40,CLOSED,0,1.0950000000011642,0.008516183225499937
T50,CLOSED,0,1.0950000000011642,0.011236607038549848
T60,CLOSED,0,1.0950000000011642,0.013587312570762431
T70,CLOSED,0,1.0950000000011642,0.021653449317169615
T80,CLOSED,0,1.0950000000011642,0.021343937887824505
T90,CLOSED,0,1.0950000000011642,0.02682214293829552
T100,CLOSED,0,1.0950000000011642,0.02915689714766003
