Step,Position,Total Units,PnL,Return sum
T10,SHORT,100,6.800000000001091,0.0006988111788560011
T20,SHORT,200,8.700000000004366,0.0005897378744164502
T30,SHORT,300,-3.75,0.0003529784156813182
T40,SHORT,400,19.650000000001455,0.0005663967954068206
T50,CLOSED,0,19.650000000001455,0.0008782742791108849
T60,CLOSED,0,19.650000000001455,0.0006468458263438436
T70,CLOSED,0,19.650000000001455,0.0006914148004576803
T80,CLOSED,0,19.650000000001455,0.0010304406361801282
T90,CLOSED,0,19.650000000001455,0.001081051541200631
T100,CLOSED,0,19.650000000001455,0.0011791922172680687
